"member","series",".model","MASE","RMSE","MAE","MAPE"
"A","min_ozone","snaive",0.937577136823783,16.8954500778563,11.5283333333333,5.99377504185279
"A","min_ozone","ets",0.96530689987513,15.9659035264804,11.8692950944032,6.2776827241537
"B","polar_cap_ozone","snaive",0.816122388937923,17.1556370716256,13.9916666666667,4.99676573890418
"B","polar_cap_ozone","arima",0.947064764953217,20.7124151676884,16.2365530986289,5.80610057137226
"C","hole_area_m6","snaive",0.633057586104173,3.49310749906154,2.42333333333333,NA
"C","hole_area_m6","tslm",0.634228985280632,2.96043458709585,2.42781742882996,NA
"D","latband_ozone","snaive",0.992855105339654,21.7754668912823,16.0291666666667,5.64560543974654
"D","latband_ozone","nnar",1.18675378754609,24.6337646792328,19.1595673432797,6.69372286838925
